SRR5755588	SRR5755589	SRR5755590	SRR5755591	SRR5755592	SRR5755593
0610005C13Rik	5	20	13	0	2	4
0610007C21Rik	4909	5457	3438	2542	2750	2684
0610007L01Rik	3510	3506	2232	4255	4049	4432
0610007P08Rik	2261	2164	1630	3311	3373	3470
0610007P14Rik	4055	4276	2884	8135	8624	8675
0610007P22Rik	1765	1956	1268	1474	1651	1602
0610008F07Rik	0	0	0	0	0	0
0610009B14Rik	0	0	0	0	0	0
0610009B22Rik	1360	1469	950	1060	1248	1162
0610009D07Rik	4453	4701	3190	4755	4836	4963
0610009E02Rik	39	32	15	12	23	15
0610009L18Rik	211	228	142	85	111	89
0610009O20Rik	4151	4406	2893	4234	4212	4143
0610010F05Rik	2804	2600	1721	3655	3631	3954
0610010K14Rik	2298	2469	1600	2795	2749	2626
0610010O12Rik	621	582	458	505	542	466
0610011F06Rik	1451	1580	1049	1021	1096	1101
0610011L14Rik	3422	3724	2466	3509	3495	3679
0610012D04Rik	0	2	0	1	0	0
0610012G03Rik	2645	2877	1945	2397	2428	2447
0610012H03Rik	36	34	24	9	10	4
0610025J13Rik	1	4	0	0	0	0
0610030E20Rik	1957	1828	1323	1569	1701	1814
0610031J06Rik	6657	7030	4457	3283	3337	3359
0610037L13Rik	2005	2371	1397	2288	2452	2626
0610037P05Rik	4747	4924	3204	3055	3298	3297
0610038L08Rik	2	0	2	3	2	2
0610038P03Rik	1	1	1	2	0	2
0610039K10Rik	5	6	9	1	6	1
0610040B09Rik	0	0	0	0	0	0
0610040B10Rik	239	224	140	76	74	53
0610040F04Rik	3	7	2	1	2	2
0610040J01Rik	146	165	92	16	12	14
0610043K17Rik	0	2	3	0	0	1
0910001L09Rik	2297	2887	1721	1865	2145	1968
1010001B22Rik	56	54	44	17	23	14
1010001N08Rik	0	0	0	0	0	0
1100001G20Rik	0	0	1	0	0	0
1110001A16Rik	537	584	386	338	438	436
1110001J03Rik	1145	1392	837	1197	1369	1324
1110002B05Rik	4305	4275	3044	4445	4265	4593
1110002E22Rik	22	16	4	4	1	9
1110002J07Rik	167	196	123	24	37	21
1110002L01Rik	201	171	82	199	228	220
1110002N22Rik	642	649	409	648	660	753
1110003E01Rik	5722	6048	3715	2064	2160	2311
1110003O08Rik	628	686	471	378	368	391
1110004E09Rik	1344	1273	889	2066	2130	2204
1110004F10Rik	8688	8539	5831	9053	9515	9508
1110005A03Rik	1226	1291	811	972	1065	1039
1110006G14Rik	22	24	21	9	13	11
1110007C09Rik	434	544	347	549	547	560
1110008E08Rik	0	0	0	0	0	0
1110008F13Rik	1356	1396	1032	2460	2393	2312
1110008J03Rik	416	455	310	701	843	769
1110008L16Rik	1044	1097	701	869	759	868
1110008P14Rik	1451	1637	1013	1566	1695	1589
1110012D08Rik	3344	3494	2258	3796	4026	4161
1110012J17Rik	1338	1273	795	1041	980	1120
1110012L19Rik	1512	1633	1056	860	945	887
1110014N23Rik	3579	3631	2387	2311	2330	2423
1110017D15Rik	6	12	2	8	13	8
1110017F19Rik	0	1	4	3	2	1
1110018G07Rik	8272	7670	5448	5264	5350	5650
1110018J18Rik	1443	1233	934	809	797	727
1110018N20Rik	17	18	11	20	30	19
1110019D14Rik	134	135	87	70	71	48
1110020A21Rik	63	110	72	52	61	49
1110020G09Rik	7416	7084	4905	4438	4441	4590
1110021J02Rik	551	589	410	519	550	568
1110021L09Rik	1652	1795	1224	2383	2627	2825
1110025L11Rik	0	0	0	0	0	0
1110028C15Rik	2116	1911	1316	1375	1435	1501
1110028F11Rik	0	0	0	0	0	0
1110031I02Rik	604	680	361	784	800	824
1110032A03Rik	1278	1311	805	356	370	362
1110032A04Rik	0	0	1	0	0	1
1110032F04Rik	77	88	75	57	58	49
1110034A24Rik	1048	1182	765	2640	2644	2687
1110034B05Rik	900	886	582	674	766	773
1110034G24Rik	455	559	375	268	344	351
1110035H17Rik	2	12	2	4	12	17
1110035M17Rik	40	37	25	11	15	12
1110036E04Rik	1	0	0	0	0	0
1110037F02Rik	7037	6142	4269	7187	6827	7585
1110038B12Rik	2405	2629	1774	2952	3039	3398
1110038D17Rik	1707	1759	1192	1298	1417	1376
1110038F14Rik	3468	3960	2232	1907	1804	1959
1110046J04Rik	0	0	0	0	0	0
1110049F12Rik	3880	4418	2844	7020	7370	7190
1110050K14Rik	2	2	1	1	0	0
1110051M20Rik	3187	3376	2143	1941	2001	2095
1110054M08Rik	302	363	204	169	197	149
1110054O05Rik	1983	2084	1265	2944	2865	3002
1110057K04Rik	3354	3583	2518	3030	2876	3132
1110057P08Rik	0	0	0	0	0	0
1110058L19Rik	1390	1455	964	849	943	854
1110059E24Rik	2640	2678	1696	2668	2738	2702
1110059G10Rik	1160	1245	770	927	917	824
1110059M19Rik	0	0	0	1	0	0
1110065P20Rik	1183	1368	889	998	1053	1000
1110067D22Rik	5211	4673	3206	5580	5645	5862
1190002H23Rik	4104	4763	3118	2271	2492	2444
1190002N15Rik	5244	4797	3416	3314	3298	3375
1190003J15Rik	3	0	0	0	0	0
1190005F20Rik	2010	1959	1325	1879	1965	2019
1190005I06Rik	738	843	513	127	130	116
1190007F08Rik	131	165	88	27	20	41
1190007I07Rik	113	117	86	135	142	117
1200007C13Rik	4	0	0	0	0	0
1200009I06Rik	131	150	110	12	19	15
1200011I18Rik	3044	2844	1981	2498	2439	2747
1200011M11Rik	1732	1591	1086	1897	1863	2147
1200014J11Rik	2955	2776	1993	2641	2744	2853
1200016B10Rik	842	790	569	975	1016	1053
1300001I01Rik	6691	6352	4586	12997	12260	13246
1300002E11Rik	432	438	259	335	370	324
1300002K09Rik	1	2	1	2	2	3
1300010F03Rik	3571	3311	2327	2806	2624	3014
1300014I06Rik	778	794	590	1532	1746	1496
1300015D01Rik	0	0	0	0	0	0
1300017J02Rik	13	22	4	3	5	3
1300018I17Rik	1825	1972	1198	1235	1191	1458
1300018J18Rik	1702	1698	1095	897	889	927
1500001M20Rik	1078	1204	808	2034	2098	2012
1500002C15Rik	5	9	10	18	17	9
1500002F19Rik	9	11	5	2	0	2
1500002O10Rik	11	13	5	14	18	13
1500002O20Rik	2068	2236	1354	2871	2760	2888
1500003O03Rik	15040	15110	10027	8528	8349	8665
1500009C09Rik	4127	4790	3057	934	1142	1050
1500009L16Rik	409	434	309	647	616	632
1500010J02Rik	4911	5023	3331	4479	4155	4680
1500011H22Rik	1282	1539	1028	1686	1743	1788
1500011K16Rik	820	790	600	886	964	858
1500012F01Rik	2365	2654	1835	1823	1846	1912
1500012K07Rik	0	0	0	0	0	1
1500015O10Rik	183	202	123	92	66	84
1500016L03Rik	13	4	4	1	14	1
